"Employbl Company ID","Company Name","Website","Address 1","City","State","Zip","Latitude","Longitude","Company Description","Thumbnail URL"
1095,"500 startups","500.co","814 Mission St","San Francisco","CA",94103,37.784414,-122.404915,"We uplift people and economies around the world through entrepreneurship.",
984,"5AM Ventures","5amventures.com","2200 Sand Hill Road","Menlo Park","CA",94025,37.422774,-122.199215,"5AM Ventures is a leading venture capital firm focused on building next-generation life science companies capable of delivering outstanding returns to our investors.",
1088,"Accel","www.accel.com","2500 Sand Hill Road","Menlo Park","CA",94025,37.421750,-122.204843,"We partner with exceptional founders with unique insights, from inception through all phases of growth.",
986,"Altimeter Capital","","2420 Sand Hill Road","Menlo Park","CA",94025,37.422643,-122.203958,"",
987,"Altos Ventures","","2882 Sand Hill Road","Menlo Park","CA",94025,37.421968,-122.214066,"",
988,"Andreessen Horowitz","a16z.com","2865 Sand Hill Road","Menlo Park","CA",94025,37.419730,-122.214244,"Andreessen Horowitz is a private American venture capital firm, founded in 2009 by Marc Andreessen and Ben Horowitz. The company is headquartered in Menlo Park, California. Andreessen Horowitz invests in both early-stage start-ups and established growth companies.",
989,"Battery Ventures","","2884 Sand Hill Road","Menlo Park","CA",94025,37.421944,-122.215130,"",
80,"Benchmark Capital","www.benchmark.com","988 Market St","San Francisco","CA",94102,37.782762,-122.410379,"Benchmark focuses on early-stage venture investing in mobile, marketplaces, social, and infrastructure and enterprise software.",
990,"Bright Capital","","3000 Sand Hill Road Building 2","Menlo Park","CA",94025,37.423590,-122.221003,"",
992,"Canaan Partners","","2765 Sand Hill Road","Menlo Park","CA",94025,37.419687,-122.209616,"",
993,"Charles River Ventures","","2882 Sand Hill Road","Menlo Park","CA",94025,37.421968,-122.214066,"",
997,"Columbus Nova","","3000 Sand Hill Road Building 3 Suite 190","Menlo Park","CA",94025,37.423590,-122.221003,"",
999,"DCM Ventures","","2420 Sand Hill Road","Menlo Park","CA",94025,37.422643,-122.203958,"",
1001,"Draper Fisher Jurvetson","","2882 Sand Hill Road","Menlo Park","CA",94025,37.421968,-122.214066,"",
250,"First Round Capital","firstround.com","151 10th St","San Francisco","CA",94103,37.774833,-122.414905,"First Round is a venture capital firm that specializes in providing seed-stage funding to technology companies.",
261,"Founders Fund","foundersfund.com","1 Letterman Dr building d","San Francisco","CA",94129,37.800184,-122.449820,"We invest in smart people solving difficult problems.",
265,"FundersClub","fundersclub.com","237 Kearny St #424","San Francisco","CA",94108,37.790315,-122.404185,"Diversify your investment portfolio with insider access to highly vetted startups from Silicon Valley and beyond in just minutes.",
1004,"GGV Capital","","2494 Sand Hill Road","Menlo Park","CA",94025,37.422068,-122.203026,"",
1005,"GI Partners","","2180 Sand Hill Road","Menlo Park","CA",94025,37.423064,-122.198505,"",
1007,"Greylock Partners","greylock.com","2250 Sand Hill Road","Menlo Park","CA",94025,37.424218,-122.194856,"We partner early with consumer and enterprise software entrepreneurs. Our mission is to help realize rare potential.",
