"Employbl Company ID","Company Name","Website","Address 1","City","State","Zip","Latitude","Longitude","Company Description","Thumbnail URL"
6,"23andMe","23andme.com","899 W Evelyn Ave","Mountain View","CA",94041,37.395208,-122.079159,"Discover what 125+ personalized reports have to say about your ancestry, health, traits and more.",
1075,"280 Group","280group.com","142B S Santa Cruz Ave","Los Gatos","CA",95030,37.220624,-121.985589,"Let 280 Group help you leverage our proven process for Product Management and Product Marketing through training, certification, consulting, and more.",
984,"5AM Ventures","5amventures.com","2200 Sand Hill Road","Menlo Park","CA",94025,37.422774,-122.199215,"5AM Ventures is a leading venture capital firm focused on building next-generation life science companies capable of delivering outstanding returns to our investors.",
1088,"Accel","www.accel.com","2500 Sand Hill Road","Menlo Park","CA",94025,37.421750,-122.204843,"We partner with exceptional founders with unique insights, from inception through all phases of growth.",
15,"Addepar","addepar.com","303 Bryant St","Mountain View","CA",94041,37.392670,-122.080849,"Addepar is the first performance reporting platform that easily handles all of your assets, connecting your financial goals and objectives with real world actionable insights.",
16,"Adecco Group","www.adeccogroup.com","903 Sneath Ln Ste 123","San Bruno","CA",94066,37.635000,-122.424555,"In the world of work, The Adecco Group is the world's leading provider of temporary staffing, permanent placement, career transition and talent development",
18,"Adobe","www.adobe.com","601 Townsend St","San Francisco","CA",94103,37.771206,-122.401662,"Adobe is changing the world through digital experiences. We help our customers create, deliver and optimize content and applications.",
1081,"AgilOne","acquia.com","771 Vaqueros Ave","Sunnyvale","CA",94085,37.395589,-122.031758,"AgilOne is now part of Acquia. AgilOne is a customer data platform for enterprise B2C companies. AgilOne's vision is to restore the personal relationships companies once had with customers before channel-specific marketing silos got in the way. Through a single view of customers across all channels, predictive models to understand customer behavior, and real-time APIs to orchestrate personalized experiences across all touch-points, AgilOne creates authentic omni-channel customer relationships that maximize lifetime value.",
33,"Alation","alation.com","805 Veterans Blvd #307","Redwood City","CA",94063,37.491223,-122.228606,"Alation's Data Catalog empowers analysts & information stewards to search, query and collaborate for fast, accurate insights and confident decision-making.",
35,"AlienVault","www.alienvault.com","1100 Park Pl #300","San Mateo","CA",94403,37.545105,-122.290819,"At AT&T Cybersecurity our mission is to provide phenomenal threat intelligence, collaborative defense & effective security for organizations of all sizes.",
986,"Altimeter Capital","","2420 Sand Hill Road","Menlo Park","CA",94025,37.422643,-122.203958,"",
987,"Altos Ventures","","2882 Sand Hill Road","Menlo Park","CA",94025,37.421968,-122.214066,"",
41,"Amazon","amazon.com","1900 University Ave","East Palo Alto","CA",94303,37.459056,-122.142821,"Online shopping from the earth's biggest selection of books, magazines, music, DVDs, videos, electronics, computers, software, apparel & accessories, shoes,",
43,"Ambient.ai","ambient.ai","459 Hamilton Ave","Palo Alto","CA",94301,37.447222,-122.158617,"We are a small team of Stanford graduates and software engineers with extensive research experience in imaging, neuroscience, deep learning and artificial intelligence. We've previously built mission-critical products and infrastructure at companies like Apple, Google, Microsoft and Dropbox. We're on a mission to advance the state-of-the-art in Vision AI.",
44,"AMD","www.amd.com","2485 Augustine Dr","Santa Clara","CA",95054,37.382925,-121.970384,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company",
1097,"Amply Power","www.amplypower.com","335 E Middlefield Rd","Mountain View","CA",94043,37.396461,-122.058804,"AMPLY Power's Charging-as-a-Service model de-risks and accelerates the adoption of electric buses, trucks, and cars.",
988,"Andreessen Horowitz","a16z.com","2865 Sand Hill Road","Menlo Park","CA",94025,37.419730,-122.214244,"Andreessen Horowitz is a private American venture capital firm, founded in 2009 by Marc Andreessen and Ben Horowitz. The company is headquartered in Menlo Park, California. Andreessen Horowitz invests in both early-stage start-ups and established growth companies.",
49,"Anomali","anomali.com","808 Winslow St","Redwood City","CA",94063,37.486075,-122.231216,"Anomali is a Threat Intelligence Platform that enables businesses to integrate security products and leverage threat data to defend against cyber threats.",
55,"Apple","www.apple.com","Apple Campus","Cupertino","CA",95014,37.331820,-122.031180,"Discover the innovative world of Apple and shop everything iPhone, iPad, Apple Watch, Mac, and Apple TV, plus explore accessories, entertainment, and expert",
61,"Apttus","apttus.com","1400 Fashion Island Blvd #100","San Mateo","CA",94404,37.556081,-122.288161,"Apttus provides category-defining Quote-to-Cash software delivering CPQ, Contract Management, E-Commerce & Revenue Management.",
919,"Arista","arista.com","5453 Great America Pkwy","Santa Clara","CA",95054,37.412161,-121.976030,"Arista Networks was founded to pioneer and deliver software-driven cloud networking solutions for large data center storage and computing environments.",
62,"Armory","www.armory.io","28 E 3rd Ave #200","San Mateo","CA",94401,37.563250,-122.325167,"Continuous Deployment for the Enterprise",
902,"Ascend","tryascend.com",,"San Jose","CA",,37.338208,-121.886329,"Ascend is a full service debt settlement and debt relief company to help people get and stay out of debt.",
66,"ASUS","www.asus.com","48720 Kato Rd","Fremont","CA",94538,37.461544,-121.923311,"ASUS is a worldwide top-three consumer notebook brand that creates innovative technology to deliver a seamless, joyful digital life for everyone.",
70,"Avast","avast.com","2625 Broadway","Redwood City","CA",94063,37.485898,-122.233689,"Join 435 million others and get award-winning free antivirus for PC, Mac & Android. Surf safely & privately with our VPN. Download Avast today!",
1100,"Baidu USA","usa.baidu.com","1195 Bordeaux Dr","Sunnyvale","CA",94089,37.409228,-122.023987,"Located in the heart of Silicon Valley, Baidu USA is one of the R&D centers of Baidu, China’s largest search engine provider. Baidu USA’s team of elite, world-class researchers and engineers devote their time to tackling the most challenging, change-the-world projects in AI and related fields",
76,"Barracuda","www.barracuda.com","3175 S Winchester Blvd","Campbell","CA",95008,37.267651,-121.957931,"Barracuda Networks is the worldwide leader in Security, Application Delivery and Data Protection Solutions.",
989,"Battery Ventures","","2884 Sand Hill Road","Menlo Park","CA",94025,37.421944,-122.215130,"",
81,"Benevity","benevity.com","32 W 25th Ave #203","San Mateo","CA",94403,37.544091,-122.306726,"Benevity's goodness platform empowers socially conscious brands to make a real difference. Learn how we can make your giving programs great.",
84,"Betterworks","betterworks.com","999 Main St","Redwood City","CA",94063,37.484282,-122.225865,"Continuous Performance Management with Betterworks can help improve employee engagement, OKRs and employee development.",
98,"Blue River Technology","www.bluerivertechnology.com","575 N Pastoria Ave","Sunnyvale","CA",94085,37.391861,-122.034289,"Blue River Technology is building the next generation of smart agriculture equipment.",
100,"BlueJeans","www.bluejeans.com","516 Clyde Ave","Mountain View","CA",94043,37.398873,-122.047364,"BlueJeans Network is the most advanced way to enable video conferencing in the workplace or on the road. Our goal is to make video as easy and pervasive as audio communications and create visual experiences that people love.",
101,"BlueVine","bluevine.com","401 Warren St #300","Redwood City","CA",94063,37.487126,-122.232107,"BlueVine gives small businesses a flexible line of credit to run their business or an advance on their invoices to meet payroll, buy supplies or grow.",
104,"Box","box.com","900 Jefferson Ave","Redwood City","CA",94063,37.484870,-122.229315,"Box is changing how you manage content across your business from simple file sharing to building custom apps.",
108,"Branch","branch.io","1400 Seaport Blvd","Redwood City","CA",94063,37.513650,-122.199525,"Increase mobile revenue with enterprise-grade links built to acquire, engage, and measure across all devices, channels, and platforms.",
990,"Bright Capital","","3000 Sand Hill Road Building 2","Menlo Park","CA",94025,37.423590,-122.221003,"",
843,"Brillio","www.brillio.com","5201 Great America Pkwy","Santa Clara","CA",95054,37.406306,-121.976493,"We help businesses define digital transformation objectives and turn them into actionable market strategies.",
116,"Broadcom","www.broadcom.com","1320 Ridder Park Dr","San Jose","CA",95131,37.386135,-121.900328,"Broadcom Inc. (NASDAQ: AVGO) is a global technology leader that designs, develops and supplies semiconductor and infrastructure software solutions.",
123,"C3","c3.ai","1300 Seaport Blvd #500","Redwood City","CA",94063,37.513716,-122.201786,"C3 is a leading software provider for rapidly developing, deploying, and operating AI, predictive analytics, and IoT applications.",
124,"Cadence Design Systems","www.cadence.com","2655 Seely Ave","San Jose","CA",95134,37.396063,-121.919533,"Cadence is a leading EDA and System Design Enablement provider delivering tools, software, and IP to help you build great products that connect the world.",
992,"Canaan Partners","","2765 Sand Hill Road","Menlo Park","CA",94025,37.419687,-122.209616,"",
132,"Carbon","carbon3d.com","1089 Mills Way","Redwood City","CA",94063,37.487369,-122.209545,"Carbon is revolutionizing 3D printing and manufacturing with breakthrough technologies that enable the creation of end use parts with unique properties.",
135,"Carta","carta.com","195 Page Mill Rd Suite 101","Palo Alto","CA",94306,37.426587,-122.138655,"Carta (formerly eShares) is an ownership and equity management platform trusted by thousands of founders, investors, and employees.",
993,"Charles River Ventures","","2882 Sand Hill Road","Menlo Park","CA",94025,37.421968,-122.214066,"",
144,"Chegg","www.chegg.com","3990 Freedom Cir","Santa Clara","CA",95054,37.388454,-121.972382,"Get step-by-step Textbook Solutions for your hard classes or connect with an online tutor instantly. As always, save up to 90% on textbook rentals.",
921,"CipherCloud","ciphercloud.com","333 W San Carlos St","San Jose","CA",95110,37.328862,-121.893598,"CipherCloud is a cloud security software company based in San Jose, California. The company enables businesses to adopt cloud services while ensuring data security and regulatory compliance.",
922,"Cisco","cisco.com","3605 Cisco Way","San Jose","CA",95134,37.408175,-121.928128,"Cisco (NASDAQ: CSCO) enables people to make powerful connections--whether in business, education, philanthropy, or creativity. Cisco hardware, software, and service offerings are used to create the Internet solutions that make networks possible--providing easy access to information anywhere, at any time. ",
150,"Clara Analytics","www.claraanalytics.com","451 El Camino Real #201","Santa Clara","CA",95050,37.350870,-121.932689,"Reducing Workers' Compensation Medical Costs through Actionable AI.",
159,"Cloudbees","www.cloudbees.com","2001 Gateway Pl #670W","San Jose","CA",95110,37.369715,-121.922733,"We’re Building the World’s First End-to-End Continuous Software Delivery System",
163,"Clover Network","clover.com","415 N Mathilda Ave","Sunnyvale","CA",94085,37.386705,-122.031980,"Clover designs smart, customized point of sale devices that make running your business easier & accepting payments from customers seamless.",
168,"Codexis","codexis.com","400 Penobscot Dr","Redwood City","CA",94063,37.500281,-122.216549,"Codexis is a leading protein engineering company that applies its technology to the development of biocatalysts for commercial manufacture of pharmaceuticals",
871,"ColorTokens","colortokens.com","2101 Tasman Dr Suite 201","Santa Clara","CA",95054,37.409514,-121.961797,"Built from the ground up for zero trust, the ColorTokens cloud-delivered platform offers a new-generation of proactive security that simplifies and streamlines protection and compliance for cloud workloads, applications, and endpoints",
997,"Columbus Nova","","3000 Sand Hill Road Building 3 Suite 190","Menlo Park","CA",94025,37.423590,-122.221003,"",
821,"CommonGenius","commongenius.com","75 E Santa Clara St","San Jose","CA",95113,37.337119,-121.889391,"Meet 1-on-1 with top executives, investors, life coaches, technologists, best selling authors, influencers, and so much more. Invest in yourself and your success.",
1116,"Confident Cannabis","confidentcannabis.com",,"","",,0.000000,0.000000,"Confident Cannabis software simplifies testing and wholesale trade to help legal operators test, buy and sell compliant cannabis.",
1117,"Course Hero","www.coursehero.com","2000 Seaport Blvd","Redwood City","CA",94063,37.510734,-122.203471,"Instant access to millions of Study Resources, Course Notes, Test Prep, 24/7 Homework Help, Tutors, and more. Learn, teach, and study with Course Hero.",
179,"Coursera","www.coursera.org","381 E Evelyn Ave","Mountain View","CA",94041,37.386873,-122.060787,"Choose your #CourseToSuccess! Learn online and earn valuable credentials from top universities like Yale, Michigan, Stanford",
180,"Cradlepoint","cradlepoint.com","718 University Ave Suite 200","Los Gatos","CA",95032,37.236957,-121.975021,"Founded in 2006, Cradlepoint has grown to become the industry leader in cloud-delivered 4G LTE network solutions for business, service provider, and government organizations, and we are committed to extending our leadership into the emerging 5G space.",
873,"Crossover Hub","crossoverhub.com","42514 Albrae St","Fremont","CA",94538,37.508858,-121.970526,"Freshly established in 2018, Crossover Hub is an incubator for pioneering and edge-cutting ideas and minds.
The hub offers co-working space and operational supports to entrepreneurs and early stage companies,
from starting up to scaling up.",
925,"DataStax","datastax.com","3975 Freedom Cir","Santa Clara","CA",95054,37.387153,-121.973883,"DataStax is an experienced partner in on-premises, hybrid, and multi-cloud deployments and offers a suite of distributed data management products and cloud services. We make it easy for enterprises to deliver killer apps that crush the competition. ",
196,"Datavisor","datavisor.com","967 N Shoreline Blvd","Mountain View","CA",94043,37.407728,-122.077488,"Predict novel, evolving attacks with Unsupervised Machine Learning.",
874,"Datrium","datrium.com","385 Moffett Park Dr #205","Sunnyvale","CA",94089,37.406390,-122.016012,"Datrium Does Disaster Recovery and Disaggregated HCI Right.
Get a single powerful platform with solutions for hybrid cloud, private cloud, and on-premises data centers",
999,"DCM Ventures","","2420 Sand Hill Road","Menlo Park","CA",94025,37.422643,-122.203958,"",
927,"Delphix","delphix.com","1400 Seaport Blvd","Redwood City","CA",94063,37.513745,-122.199786,"Deliver winning applications with compliant data that can be versioned on demand—across clouds.",
825,"DiDi Labs","didi-labs.com","450 National Ave","Mountain View","CA",94043,37.401840,-122.052942,"DiDi Labs is developing advanced technologies to power our vision of the future: an open, efficient, collaborative, and sustainable transportation ecosystem.",
844,"Diffbot","www.diffbot.com","333 Ravenswood Ave","Menlo Park","CA",94025,37.457562,-122.176536,"Tap into accurate data from a single page or the entire web with Diffbot AI.",
208,"DNAnexus","dnanexusconnect.com","1975 W El Camino Real #204","Mountain View","CA",94040,37.393674,-122.099278,"DNAnexus, a cloud-based genome informatics & data management platform, is accelerating genomic medicine by making it easier to work with genomic data",
1058,"Dokkio","dokkio.com","1 Waters Park Dr #103","San Mateo","CA",94403,37.551425,-122.291173,"Dokkio gives your team an intelligent way to organize, find, understand, and collaborate on the files your team uploads and shares. When connected to Dropbox, Google Drive, Gmail, Slack, or Box, Dokkio automatically",
1001,"Draper Fisher Jurvetson","","2882 Sand Hill Road","Menlo Park","CA",94025,37.421968,-122.214066,"",
221,"eBay","www.ebay.com","2025 Hamilton Ave","San Jose","CA",95125,37.295145,-121.926111,"Buy and sell electronics, cars, fashion apparel, collectibles, sporting goods, digital cameras, baby items, coupons, and everything else on eBay",
